Cosit,Description,Type,StartSite,EndSite,Length,StartGrid,EndGrid,Direction
9800YZREQAIT,IRR South C - Inner Ring Road Clockwise,Normal,MAC4012MR,MAC1049MR,2744 m,385530397656,382950397270,W
9800YZNUL1TG,Site 1047 to Site 1050,Normal,MAC1047TR,MAC1050SD,2105 m,381277396298,381419398084,N
9800YZK07JJK,Queens Rd/Smedley Rd to Oldham Rd/Hulme Hall Ln/Queens Rd,Normal,MAC4062MR,MAC4226MR,1366 m,385162400639,386131399927,SE
9800YZGG4QBL,A635 Manchester Rd/Audenshaw Rd to A635 Manchester Rd/Moss Way,Link,MAC4016TA,MAC4018TA,1611 m,390623397498,391982398151,E
9800YZGDVZAN,Princess Rd/Moss Ln E to Lloyd St N/Denmark St,Link,MAC4220MR,MAC1405MR,1076 m,383827395861,384459396142,E
9800YZDCBDP3,Liverpool Rd/Worsley Rd to Church St/Peel St,Link,MAC4112SD,MAC4113SD,1338 m,376224398280,377497398577,E
9800YZBGAHM4,St Helens Rd/Newbrook Rd/Salford Rd to St Helens Rd/Hulton Ln,Link,MAC4273BL,MAC4274BL,1161 m,369013405797,369300406787,N
9800YYZIQ33M,A57 Woolley Ln/Market St to A57 Mottram Rd/Halton St,Link,MAC4056TA,MAC4022TA,5032 m,400342396015,395572395012,W
9800YYIXP6IE,A560 Altrincham Rd/Hall Ln to Junction Shaftsbury Ave/Thorley Ln,Link,MAC4209MR,MAC1011TR,3176 m,381664389356,378983388477,W
9800YYCRKBBX,Warren Bruce Rd/Wharfside Way to A5081 Village Way/Mosley Rd,Link,MAC4229TR,MAC4228TR,854 m,379869396779,379041396781,W
9800YY11HC0Z,Rochdale Road/Featherstall Road North to Oldham Rd/Shaw Rd,Link,MAC4349OL,MAC4340OL,1130 m,392122406048,392135407168,N
9800YXWHAPA4,Bury New Rd/Waterloo Rd to Great Ducie St/Trinity Way,Link,MAC4093MR,MAC4005MR,806 m,383428399839,383788399115,SE
9800YXGFSMAE,Lloyd St/Denmark St to Lloyd St/Moss Ln E,Link,MAC1405MR,MAC1406MR,552 m,384459396142,384439395589,S
9800YXDRBRZT,Oldham Rd/Hulme Hall Rd/Queens Rd to Rochdale Rd/Queens Rd,Normal,MAC4226MR,MAC4254MR,903 m,386131399927,385571400588,NW
9800YX5M93T0,Chorley New Rd SE of Oxford Rd to Chorley New Rd/Tudor Ave,Link,MAC4303BL,MAC4305BL,4251 m,365634409787,369793409364,E
9800YX0JKBEB,A6042 Trinity Way/Chapel St to A6042 Trinity Way/Blackfriars Rd,Normal,MAC4003SD,MAC4004SD,479 m,383009398543,383273398928,NE
9800YWZMY0JJ,A5081 Wharfside Way/Sir Matt Busby Way to Chester Rd/Bridgewater Way,Link,MAC4230TR,MAC4231TR,646 m,380874396493,381468396368,E
9800YWZI5KWK,Broad St/The Crescent/Albion Way/Cross St to Albion Way/Liverpool St,Normal,MAC4076SD,MAC4075SD,481 m,381787398791,381612398353,SW
9800YWYIMGRX,M602 J2/Gilda Brook Roundabout (north) to M602 J2/Gilda Brook roundabout (south),Link,MAC4116SD,MAC4115SD,197 m,378171398952,378157398804,S
9800YWQFJPJD,Lloyd St/Denmark St to Lloyd St/Moss Ln E,Normal,MAC1405MR,MAC1406MR,552 m,384459396142,384439395589,S
9800YWP3OCSB,Mancunian Way Eastbound,Normal,MAC4001MR,MAC4012MR,3205 m,382729397664,385530397656,E
9800YWNEQCVT,A578 Leigh Rd/Smiths Ln to A577 Wigan Rd N of Eva St,Link,MAC1118WG,MAC1116WG,1056 m,363873402051,364498401260,SE
9800YWMUPXNI,A6 Broad St/The Cresent/Albion Way/Cross Ln to A6042 Trinity Way/Chapel St,Link,MAC4076SD,MAC4003SD,1280 m,381787398791,383009398543,E
9800YWKOQ7YS,A57 Woolley Ln / A628 Market St to Mottram Moor/Back Moor,Link,MAC4056TA,MAC4057TA,777 m,400342396015,399595395799,W
9800YWDBYBMJ,M60 J22 EB off-clip/Manchester Rd to A62 Manchester Rd/Fredrick St/Edward St,Normal,MAC4223OL,MAC4222OL,1834 m,390598402639,391393404278,NE
9800YW0GU9C7,A6 Stockport Rd/Dickenson Ln to A6 Stockport Rd/Plymouth Grove,Link,MAC1077MR,MAC1079MR,485 m,386820395549,386513395923,NW
9800YW0DIVPL,(blank),Link,MAC4083BU,MAC4085BU,0 m,380181410507,380536408582,S
9800YVX7XNQW,Angouleme Way/Jubilee Way/Manchester Rd to Manchester Road Bury A56,Normal,MAC4083BU,MAC1062,335 m,380181410507,380160410183,S
9800YVVIHPAU,B5215 Leigh Rd/Kirkhall Ln to B5215 Leigh Rd/Lovers Ln,Link,MAC4270WG,MAC4271WG,1615 m,365733400988,366353402341,NE
9800YVMW1FXV,Rochdale Road/Featherstall Road North to Rochdale Rd/Chadderton Way,Link,MAC4349OL,MAC4320OL,621 m,392122406048,392156405439,S
9800YUNR7PRY,A6042 Trinity Way/Gt Ducie St to A665 Cheetham Hill Rd/Corporation St,Normal,MAC4005MR,MAC4007MR,516 m,383788399115,384174399038,E
9800YULDWWDV,Ashton Old Rd/Pottery Ln to Ashton Old Rd/Chancellor Ln,Link,MAC4014MR,MAC4013MR,1479 m,387191397513,385715397639,W
9800YUIN9YHM,A627 Market St/Union St to A560 Stockport Rd W/Ashton Rd,Link,MAC4025TA,MAC4264ST,4939 m,394944394723,392012391628,SW
9800YUHRR3M4,Ashton New Rd/Alan Turing Way to Oldham Rd/Hulme Hall Ln/Queens Rd,Normal,MAC4065MR,MAC4226MR,1876 m,387149398340,386131399927,NW
9800YUBIIIYJ,A34 Birchfields Rd/Fallowfield Shopping Centre to A34 Kingsway/Parrs Wood Ln,Link,MAC4107MR,MAC4105MR,3905 m,386438394075,385523390476,S
9800YUAQRPOR,M60 Jct 24/M67/Manchester Rd (Southside) to M60 Jct 24/M67/Manchester Rd (Northside),Link,MAC4034TA,MAC4033TA,216 m,390971395619,391142395535,E
9800YU6GQGWK,Warrington Rd/Lily Lane to Church Ln/Golborne Rd/Slag Ln/Stone Cross Ln North,Link,MAC4294WG,MAC4293WG,5173 m,360464402418,361513397752,S
9800YTU5CGLJ,A57 Hyde Rd Longsight to A57 Hyde Rd/Devonshire St,Link,MAC1317,MAC4038MR,1078 m,386813396611,385778396921,W
